Question Type: multipleresponse,Parent Category,Category,Random Answers,Grade Style,Correct Feedback,Incorrect Feedback,Points,Question,Correct,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Answer I,Answer J
multiplechoice,PSM II,Efficiency vs Empiricism Trap,Yes,"A corrects the false equivalence between report stability and effectiveness, emphasizing adaptability toward the Sprint Goal.","Don't prioritize static reporting over learning and transparency, undermining empiricism.",1,A stakeholder asks the Scrum Master to ensure the team never changes Sprint Backlog once Planning ends to keep reports consistent. What is the best response?,A,"Explain that the Sprint Backlog is emergent and Developers adapt it daily as they learn, while keeping focus on the Sprint Goal.",Agree to lock the Sprint Backlog for the sake of consistent reporting.,Require the Product Owner to approve any change to the Sprint Backlog.,Ask Developers to keep a hidden list of changes to avoid altering the artifact.,,,,,,,
multiplechoice,PSM II,Coaching Stances,Yes,"A reflects an enabling stance that grows the team's decision capability rather than replacing it, aligning with Developers' accountability.","Don't remove ownership from Developers and harm learning, creating dependency.",1,Developers want the Scrum Master to decide on the architecture because they cannot agree. What stance should the Scrum Master take?,A,"Facilitator and coach, enabling Developers to decide and learn, possibly using timeboxes, spikes, and decision protocols.","Authority, making the call quickly to save time this Sprint.","Delegator to the Product Owner, since architecture affects value.",Escalator to management for a final decision.,,,,,,,
multiplechoice,PSM II,Multi Correct,Yes,"A focuses on prioritization, ownership, and transparency by incorporating improvements into the Sprint Backlog toward the Sprint Goal.",Don't create command-and-control or side processes that reduce ownership and visibility.,1,"The team's Retrospectives generate many action items, but most are not acted on. What is the Scrum Master's best next step?",A,"Coach the team to choose a small number of high-impact improvements and incorporate them in the Sprint Backlog, making ownership and outcomes visible.",Assign action items directly to ensure they get done.,Schedule a separate weekly improvement meeting to process all items.,Track improvement items privately and remind individuals mid-Sprint.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A promotes a culture of transparency and shared understanding of value, reducing churn through collaborative refinement.","Don't avoid the cultural issue and introduce hidden work or arbitrary limits, hurting trust.",1,"A Product Owner keeps adding urgent items to the top of the Product Backlog without sharing the rationale, creating churn. What should the Scrum Master do first?",A,"Coach on transparency of value and ordering criteria, and facilitate joint refinement to build shared understanding and stability.",Ask Developers to ignore new items until the next Sprint.,Create a hidden backlog for urgent items to avoid confusion.,Limit the number of items the Product Owner can add per week.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,"A challenges misuse of velocity and shifts focus to outcome-oriented, transparent measures for responsible funding.","Don't attempt to standardize or misuse velocity, encouraging gaming and harming behavior.",1,A Scrum Master is asked to aggregate and compare velocities of three teams to decide funding allocations. What should they do?,A,Explain the limitations of comparing velocity across teams and propose product outcome and value measures with context for funding decisions.,Provide normalized velocity per Developer for fairness.,Ask each team to adopt the same story point scale for comparability.,Use velocity trends as the sole basis for funding since they are team-generated.,,,,,,,
multiplechoice,PSM II,Multi Correct,Yes,A preserves flexibility to adapt while keeping focus on the Sprint Goal and using the Daily Scrum effectively.,"Don't over-specify and reduce adaptability, leading to brittle plans.",1,Developers want to pre-assign tasks at Sprint Planning to avoid confusion. The team has struggled to adapt mid-Sprint when surprises occur. What should the Scrum Master recommend?,A,Encourage planning enough to pursue the Sprint Goal while leaving flexibility in ownership; use the Daily Scrum to adapt the plan collaboratively.,Insist on full pre-assignment to ensure clarity.,Ask the Product Owner to assign tasks to speed decisions.,Lock tasks to individuals to strengthen accountability.,,,,,,,
multiplechoice,PSM II,Empirical Failure Analysis,Yes,"A targets frequent integration to maintain a usable Increment, reducing late risk and improving inspectability.",Don't mask or manipulate metrics without resolving the root problem.,1,"A team uses a shared branch and merges only at Sprint end, causing integration conflicts. Velocity is high, but defects spike. What should the Scrum Master coach?",A,Integrate frequently and maintain a releasable Increment during the Sprint to improve transparency and quality.,Keep the current process and expand the bug-fix capacity next Sprint.,Shorten Sprints to reduce conflicts while keeping end-of-Sprint merges.,Increase story point estimates to reflect merge complexity.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A reframes success toward outcomes and learning, preserving transparency and healthy risk-taking.","Don't encourage gaming and avoidance behavior, reducing transparency and learning.",1,Leadership wants the Scrum Master to enforce a rule that any Sprint not meeting all selected items will be marked as a failure. What should the Scrum Master say?,A,Success should be measured by achieving the Sprint Goal and learning; selected items are a forecast. Enforcing scope completion undermines empiricism.,Agree; this will motivate the team to try harder.,Ask Developers to under-forecast to avoid failure labels.,Extend Sprints when needed to avoid failure.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,A avoids control metrics that distort behavior and aligns focus on outcomes and continuous improvement.,"Don't risk metric gaming, comparison, and reduced learning.",1,A Scrum Master is asked to set a target velocity for the team aligned to quarterly objectives. What is the most appropriate response?,A,"Decline to set targets on velocity and coach focusing on outcomes, Product Goal progress, and improving flow without gaming metrics.",Set a target slightly above current average to encourage improvement.,Tie bonuses to velocity to ensure commitment.,Normalize story points across teams to compare and set fair targets.,,,,,,,
multiplechoice,PSM II,Multi Correct,Yes,"A reorients the Sprint Goal to outcome focus, providing clarity for stakeholders and guiding adaptation.","Don't blur focus, create fragmentation, or misuse metrics as commitments.",1,The team uses Sprint Goals but phrases them as completing a list of items. Stakeholders are confused about outcomes. What should the Scrum Master coach?,A,"Craft Sprint Goals as a single outcome or problem to solve that guides selection and work, not as a list of PBIs.",The current approach is fine if items are well-estimated.,Create multiple Sprint Goals per Developer to clarify accountability.,Use story points as the Sprint Goal to simplify communication.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,A promotes a culture that values adaptability to pursue the Product Goal while minimizing waste through transparency and refinement.,Don't favor rigidity and documentation-heavy planning over learning and value.,1,A Product Owner suggests locking the Product Backlog for the quarter to avoid rework. What is the Scrum Master's best response?,A,Explain that emergent Product Backlog ordering enables responding to change; focus on a clear Product Goal and adapt as learning occurs.,Agree to lock the backlog to increase predictability.,Increase Sprint length to reduce how often ordering changes.,Ask Developers to pre-estimate the entire quarter in detail.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,A balances urgency with focus by making decision rules transparent and adapting while preserving the Sprint Goal when possible.,"Don't undermine cadence, ignore quality, or add handoffs without solving collaboration.",1,An operations manager requests that all production defects be fixed immediately by interrupting any Sprint. The Product Owner fears value erosion. What should the Scrum Master propose?,A,"Establish clear policies and service levels with the Product Owner to decide how to handle interrupts, and adapt the Sprint Backlog collaboratively while protecting the Sprint Goal.","Always stop current work to address defects, then extend the Sprint.",Ignore defects until the Sprint ends to protect focus.,Create a parallel defect team to take all interrupts without coordination.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A reshapes the conversation toward outcomes and learning, engaging stakeholders by connecting technical work to value.","Don't rely on coercion or optics, reducing genuine engagement and learning.",1,"The Scrum Master notices that stakeholders only attend Sprint Reviews when new UI features are shown, skipping technical slices. What is the best approach?",A,"Work with the Product Owner to frame Reviews around value outcomes and learning, demonstrating technical slices via their impact on future delivery and Product Goal progress.",Mandate stakeholder attendance with leadership enforcement.,Hide technical work in the next Review to keep attention high.,Replace the Review with recorded demos to save time.,,,,,,,
multiplechoice,PSM II,Anti-pattern Diagnosis,Yes,"A unifies transparency and ordering under the Product Owner, allowing coherent decisions and reducing integration risk.","Don't fragment transparency and ownership, increasing confusion and risk.",1,"A Scrum Team maintains two backlogs: one for bugs and one for features, each with separate ordering. Integration issues and confusion arise. What should the Scrum Master do?",A,"Coach to maintain a single Product Backlog ordered by the Product Owner, integrating all work needed to improve the product.",Keep separate backlogs to reduce noise for stakeholders.,Assign the bug backlog to Developers to order it autonomously.,Create a third backlog for technical debt.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A fosters a culture of learning and autonomy aligned with outcomes, avoiding command-and-control standardization.","Don't enforce uniformity over effectiveness, risking reduced ownership and learning.",1,A Scrum Master is asked to create a plan for other Scrum Masters to enforce uniform practices across all teams for consistency. What is the best response?,A,Promote shared learning and communities of practice while allowing teams to self-manage practices that serve outcomes and transparency.,Design a mandatory checklist so leaders can audit compliance.,Require all teams to use the same estimation scale for comparability.,Create a common Definition of Ready to standardize input quality.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,A tackles the root by enhancing early shared understanding and transparent negotiation when learning occurs.,"Don't impose rigidity or handoffs, which reduce learning and ownership.",1,The Product Owner frequently changes acceptance criteria near Sprint end as their understanding evolves. Developers are frustrated. What should the Scrum Master facilitate first?,A,"Improve earlier collaboration and examples during refinement and Planning to clarify expectations, keeping late changes transparent and negotiated.",Formalize a change-freeze period before Sprint end.,Assign a business analyst to finalize all criteria before Planning.,Ask Developers to buffer extra time for late changes without involving the Product Owner.,,,,,,,
multiplechoice,PSM II,Efficiency vs Empiricism Trap,Yes,"A balances timely feedback with minimal ceremony by leveraging existing events and PO-mediated collaboration, preserving focus.",Don't add ceremony and switch costs or defers learning unnecessarily.,1,Executives request a mid-Sprint demo every two days in addition to the Sprint Review to accelerate feedback. Developers worry about context switching. What is the best Scrum Master move?,A,Propose using the Daily Scrum and ad hoc collaboration with stakeholders through the Product Owner to get feedback while avoiding heavy ceremony; keep the Sprint Review as the formal inspect-and-adapt event.,Accept all demos to satisfy executives and increase visibility.,Add a mandatory twice-weekly demo event for all teams.,Delay all feedback to the Sprint Review to protect focus strictly.,,,,,,,
multiplechoice,PSM II,Organizational Impediments,Yes,"A grows self-management while partnering on systemic impediments, using facilitation and coaching rather than dependency.",Don't foster dependency or misplace accountability.,1,Developers request the Scrum Master to present all impediments to leadership on their behalf. What stance is most appropriate?,A,"Coach Developers to raise and address impediments they can, and partner to remove organizational blockers beyond their span of control.",Agree to always escalate for them to save time.,Ask the Product Owner to handle engineering impediments.,Create a formal approval process before any impediment can be raised.,,,,,,,
multiplechoice,PSM II,Efficiency vs Empiricism Trap,Yes,"A reframes estimation as a means to transparency and forecasting, not precision theater, enabling empiricism and outcome focus.","Don't either chase precision illusion or avoid transparency, harming trust and learning.",1,The Product Owner asks Developers to estimate in hours to improve stakeholder trust. What should the Scrum Master suggest?,A,"Discuss the purpose of estimation and forecast; consider using relative sizing or no estimates combined with flow metrics, focusing on transparency of progress toward goals.",Switch to hours because they are more precise and thus more predictable.,Stop estimating entirely and refuse any forecasting.,Ask each Developer to provide personal hour estimates to improve accuracy.,,,,,,,
multiplechoice,PSM II,Empirical Failure Analysis,Yes,"A addresses lack of shared understanding and early feedback, improving empirical alignment with user needs.","Don't emphasize completeness of spec/testing over learning with users, missing the root cause.",1,A Scrum Team's Increment passes all automated tests but repeatedly disappoints users at Review due to mismatched expectations. What is the best Scrum Master focus?,A,Improve collaboration and feedback loops with stakeholders and users during refinement and through hands-on Review exploration of the Increment.,Increase the number of automated tests to cover more cases.,Delay releases until features are perfect.,Ask the Product Owner to write longer specifications.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,"A preserves empiricism by expressing intent and uncertainty transparently, enabling adaptation with stakeholders.","Don't harden plans or hide learning, undermining trust and adaptability.",1,An executive demands that the Scrum Master publish a roadmap committing features to dates six months out. What should the Scrum Master do?,A,"Propose an outcome-oriented roadmap aligned to the Product Goal with forecast ranges and regular inspection, avoiding fixed-scope promises.",Agree and lock the plan to reassure stakeholders.,Add significant buffers to hit the dates regardless of learning.,Reduce Sprint reviews to quarterly to avoid changing the plan too often.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,"A shifts culture from activity metrics to outcome focus, aligning with Scrum's value orientation.",Don't manipulate metrics or remove useful forecasting without building outcome alignment.,1,A Scrum Master notices that Developers measure success by story points completed rather than value or outcomes. What is the best intervention?,A,"Facilitate aligning measures with product outcomes, user impact, and Sprint Goal achievement, using points only as internal forecasting aids.",Eliminate estimation to force focus on value.,Increase point targets to drive higher performance.,Ask the Product Owner to reward high point completion.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,"A uses a coaching stance to strengthen Product Ownership via Product Goal focus and transparent ordering, enabling value-based decisions.",Don't avoid tough prioritization and add process burden without improving value decisions.,1,"The Scrum Master observes that the Product Owner rarely declines stakeholder requests, resulting in an ever-growing Product Backlog with low clarity. What should the Scrum Master coach?",A,"Clarify Product Goal and ordering criteria; support the Product Owner to say no or not now, and refine collaboratively for clarity.",Encourage accepting all requests to maintain relationships.,Increase Sprint length to process more items per Sprint.,Ask Developers to estimate everything to create a detailed plan.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,"A addresses local optimization and encourages team ownership of the Sprint Goal, fostering cross-skilling and flow.","Don't optimize for utilization, break cadence, or outsource responsibility, risking the Sprint Goal.",1,Developers say they finish their own tasks early but cannot help others due to specialization. The Sprint Goal is at risk. What should the Scrum Master do?,A,"Facilitate swarming and learning across skills to focus on the Sprint Goal, and adjust WIP to enable help where needed.",Ask idle Developers to pick new items to keep utilization high.,Extend the Sprint so specialists can finish their parts later.,Report the shortage to management and request more specialists.,,,,,,,
multiplechoice,PSM II,Multi Correct,Yes,"A aligns Planning with outcomes, improving focus and adaptability.","Don't center efficiency or form over outcome clarity, reducing adaptability.",1,"The Scrum Master notices that Sprint Planning always starts with capacity calculations and item selection, and only later tries to craft a Sprint Goal. What is the best coaching?",A,"Start with why: co-create a Sprint Goal first based on Product Goal progress, then select work and plan to achieve it.",Keep the current approach; it is efficient to select items first.,Let the Product Owner write the Sprint Goal alone after selection to save time.,Skip the Sprint Goal when items are self-evident.,,,,,,,
multiplechoice,PSM II,Anti-pattern Diagnosis,Yes,"A keeps accountability clear while fostering shared leadership capabilities, preserving effectiveness.","Don't reduce clarity and effectiveness, turning the role into a task rather than an accountability.",1,A Scrum Team wants to rotate the Scrum Master role weekly among Developers to increase shared responsibility. What should you advise?,A,Explain that Scrum Master is an accountability focused on team effectiveness; frequent rotation can reduce consistency and depth. Encourage capability growth but keep clear accountability.,Support the rotation as it distributes tasks evenly and saves costs.,Ask the Product Owner to take Scrum Master duties too for efficiency.,Let management assign whoever is least busy that week.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A keeps consistency while removing gates, aligning quality within the team's Definition of Done and improving flow.","Don't maintain or create risky workarounds and late integration, reducing quality and learning.",1,A team is told to use a centralized design board to approve UX changes across all products for brand consistency. It delays delivery. What should the Scrum Master recommend?,A,"Work with the board to define lightweight, transparent guidelines and asynchronous feedback, removing gating when the Definition of Done covers brand needs.",Accept the delays as necessary for consistency.,Have the Product Owner bypass the board informally to move faster.,Build UX last and patch branding at release time.,,,,,,,
multiplechoice,PSM II,Anti-pattern Diagnosis,Yes,"A preserves the integrity of distinct inspect-and-adapt focuses, improving product and process learning.","Don't conflate purposes or reduce improvement cadence, harming learning.",1,Executives suggest combining Sprint Review and Retrospective into one meeting to save time. What is the best Scrum Master reply?,A,Keep them separate due to distinct purposes: Review inspects the Increment with stakeholders; Retrospective inspects the team's way of working.,Combine them if the team is mature to be efficient.,Alternate between them each Sprint to balance time.,Cancel Retrospectives if Reviews are thorough.,,,,,,,
multiplechoice,PSM II,Empirical Failure Analysis,Yes,"A focuses on completing vertical slices to enable real inspection of value, improving learning and reducing risk.","Don't treat activity as learning, mask risk, or break cadence.",1,A team often starts many items but finishes few each Sprint. They argue it maximizes learning. What should the Scrum Master emphasize?,A,Finish small slices to create a Done Increment; learning is amplified through completed work and feedback.,Start everything early to expose more unknowns.,Report partial progress to stakeholders and call it success.,Extend Sprints until most items are finished.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,A rebuilds trust through empiricism and incremental delivery rather than false certainty.,Don't provide illusion of control without reducing risk or improving learning.,1,"The Product Owner wants to publish a fixed, detailed plan to calm a nervous client after a failed release. What should the Scrum Master coach?",A,"Increase transparency on risk and progress through small, frequent Increments with clear Sprint Goals instead of a brittle plan.",Promise a detailed plan with penalties for misses to regain trust.,Delay all new features until the plan is finalized.,Ask Developers to estimate in hours to appear more rigorous.,,,,,,,
multiplechoice,PSM II,Boundary Violation Detection,Yes,"A protects the Definition of Done and transparency, enabling scope tradeoffs instead of quality erosion.","Don't normalize or hide quality gaps, undermining trust and value.",1,A Scrum Team has a strong Definition of Done but frequently accepts exceptions to meet dates. What is the Scrum Master's best action?,A,"Make the cost of exceptions visible, coach reinforcing that not-Done work is not releasable, and help adjust scope to protect quality.",Allow occasional exceptions with approvals to stay pragmatic.,Extend Sprints when exceptions are needed to catch up on quality.,Rebrand exceptions as tech debt to close the Sprint as green.,,,,,,,
multiplechoice,PSM II,Efficiency vs Empiricism Trap,Yes,A emphasizes empiricism: shorter cycles improve learning and reduce risk; Sprint length should support creating a usable Increment.,Don't favor perceived efficiency or inconsistent cadence over learning and predictability.,1,A Product Owner pushes for bigger Sprints to reduce planning overhead and produce more per Sprint. What is the Scrum Master's best coaching?,A,Shorter Sprints increase feedback and risk control; keep or shorten the length based on ability to deliver a usable Increment and learn quickly.,Increase Sprint length to reduce event time and gain efficiency.,Use an 8-week Sprint to align with quarterly planning.,Vary Sprint lengths based on workload each month.,,,,,,,
multiplechoice,PSM II,Anti-pattern Diagnosis,Yes,"A restores transparency of the Sprint Backlog and addresses tooling impediments, enabling daily adaptation and inspection.","Don't reduce transparency and timeliness of adaptation, weakening empiricism.",1,"Developers frequently skip updating the Sprint Backlog because the board is slow, but they know the plan in their heads. What should the Scrum Master emphasize?",A,The Sprint Backlog must be transparent and reflect the current plan toward the Sprint Goal; remove tooling friction so adaptation is visible.,Accept the situation since the team is small and aligned.,Ask the Product Owner to update the board for the team.,Update the board weekly to save time.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A refocuses on quality built-in and outcome measures, avoiding incentives that distort behavior and harm collaboration.",Don't encourage gaming and local optimization over real quality and value.,1,Management wants to compare the number of bugs closed per Sprint across teams to decide bonuses. What should the Scrum Master advise?,A,Discourage using bug counts for comparison; focus on preventing defects via Definition of Done and improving outcomes and user impact.,Agree; measurable targets improve performance.,Normalize bug severity to make comparisons fair.,Ask teams to file more bugs so they can close more and look better.,,,,,,,
multiplechoice,PSM II,Empirical Failure Analysis,Yes,A restores the Review's purpose: collaboration and inspection of the Increment to adapt the Product Backlog.,"Don't reduce engagement and transparency, failing to address the lack of interaction.",1,The Scrum Team's Sprint Reviews have become one-way presentations with no stakeholder interaction. What should the Scrum Master do first?,A,"Redesign the Review format with the Product Owner to prioritize conversation, hands-on use of the Increment, and feedback on outcomes.",Shorten the Review to 10 minutes to reduce boredom.,Invite only executives to keep it focused and decisive.,Replace it with a written monthly report.,,,,,,,
multiplechoice,PSM II,Anti-pattern Diagnosis,Yes,"A balances focus and collaboration, enabling timely clarification and preserving the Product Owner's role as value maximizer.","Don't centralize or delay communication, causing accumulative misunderstandings and late surprises.",1,"A Scrum Master is praised for shielding the team from all stakeholder questions during the Sprint so they can focus. However, misunderstandings accumulate. What should the Scrum Master change?",A,"Facilitate appropriate stakeholder collaboration through the Product Owner during the Sprint, preserving focus while enabling timely clarification.",Continue shielding because interruptions harm productivity.,Route all questions to the Scrum Master to centralize communication.,Delay all discussions to the Sprint Review.,,,,,,,
multiplechoice,PSM II,Coaching Stances,Yes,"A takes a facilitative stance to build shared understanding and ownership, improving forecasts and learning.","Don't reduce collaboration, misuse accountabilities, or remove transparency without solving the problem.",1,A senior engineer insists that all estimates be provided by them alone to avoid inaccuracy from juniors. What is the Scrum Master's best response?,A,"Facilitate whole-team estimation or forecasting approaches, valuing shared understanding over individual precision claims.",Allow the senior engineer to estimate alone for speed.,Ask the Product Owner to estimate since they understand value best.,Cancel estimating entirely to avoid conflict.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,"A preserves the Product Goal as an outcome-oriented north star, respecting uncertainty and enabling adaptation.","Don't turn the commitment into a task list or metric, reducing adaptability and alignment.",1,The Product Owner proposes defining the Product Goal as a list of quarterly features to deliver. What should the Scrum Master coach?,A,"Frame the Product Goal as a longer-term outcome that guides feature choices, not a fixed feature list.",Agree; listing features helps measure progress easily.,Use story points as the Product Goal so it is quantitative.,Create separate Product Goals per team to parallelize delivery.,,,,,,,
multiplechoice,PSM II,Over-control Trap,Yes,"A maintains self-management and collaboration while ensuring focused facilitation, avoiding command-and-control.","Don't suppress collaboration and reduce transparency, harming effectiveness.",1,A Scrum Master considers adding a rule that only they can talk during events to maintain order. What is the best advice?,A,Avoid over-control; facilitate participation and focus on outcomes and timeboxing rather than restricting voices.,Implement the rule for efficiency and to prevent tangents.,Have the Product Owner co-host to approve who speaks.,Replace discussions with written updates to avoid disorder.,,,,,,,
multiplechoice,PSM II,Organizational Impediments,Yes,"A reframes success to outcomes and effectiveness, preserving transparency and discouraging gaming.","Don't promote gaming, secrecy, or misaligned accountabilities.",1,Your company wants to measure the Scrum Master's success by the number of impediments closed per Sprint. What should you respond?,A,"Impediment count is a weak proxy; success is improved team effectiveness and value outcomes, with transparency about systemic impediments and their impact.",Agree and optimize to close many small items quickly.,Report impediments privately to avoid misinterpretation.,Shift impediment logging to the Product Owner.,,,,,,,
multiplechoice,PSM II,Tradeoff Scenario,Yes,A preserves clear accountability and continuity while suggesting healthier resilience strategies.,"Don't dilute accountability and slow decisions, harming value delivery.",1,A manager proposes rotating Product Owners every Sprint to build resilience. What is the Scrum Master's best response?,A,Advise against frequent rotation; Product Ownership needs continuity for value maximization. Build resilience via collaboration and delegation without splitting accountability.,Support rotation to grow skills quickly.,Let Developers collectively own the Product Backlog ordering instead.,Assign a committee of stakeholders to order the backlog by vote.,,,,,,,
multiplechoice,PSM II,Cultural Change Questions,Yes,"A defends empiricism and predictable cadence, suggesting reporting adapt to Scrum rather than the inverse.","Don't force process to fit reporting, harming learning and predictability.",1,Your organization mandates that Sprints start on the first business day of each month to align with reporting. What should the Scrum Master do?,A,"Coach leadership on keeping a consistent Sprint length optimized for learning and value, not fixed calendar dates; decouple reporting from Sprint boundaries.",Accept the mandate to reduce friction.,Rotate Sprint lengths to fit the calendar better.,Align all teams to the same monthly start regardless of context.,,,,,,,
multiplechoice,PSM II,Efficiency vs Empiricism Trap,Yes,"A promotes a team-centered culture and outcome focus, avoiding metrics that erode collaboration and trust.","Don't reinforce individualism and gaming, degrading team performance.",1,Developers want to track personal throughput to identify top performers. What is the Scrum Master's best coaching?,A,"Discourage individual throughput metrics; focus on team outcomes, flow, and collaboration aligned to Sprint Goals.",Support it to motivate individuals to work faster.,Publish a leaderboard to encourage competition.,Have the Product Owner pay bonuses to top performers monthly.,,,,,,,
multiplechoice,PSPO II,Product Vision,Yes,"Using the Product Goal to evaluate trade-offs and proposing a small experiment preserves focus while enabling evidence-based adaptation. Timeboxing the test reduces risk and validates whether the request truly advances desired outcomes before full investment.
Taxonomy: Product Vision
Structure: Product vision alignment under pressure
Scrum Guide: Product Goal, empiricism, inspection and adaptation","Defaulting to stakeholder pressure, changing Sprint scope mid-Sprint without endangering the Sprint Goal, or delegating the decision to Developers undermines empiricism and accountabilities. The Scrum Team should keep the Sprint Goal intact and inspect/adapt the Product Backlog using evidence.
Taxonomy: Product Vision
Structure: Product vision alignment under pressure
Scrum Guide: Product Goal, Sprint Goal, accountabilities, transparency",1,"Sales insists on adding a white-label capability this quarter to close two deals, but it pulls the product away from the Product Goal of simplifying self-serve onboarding. What is the best Product Owner move now?",A,"Use the Product Goal to reframe the request and propose a small, timeboxed experiment to validate revenue impact before committing to a full build.",Defer to Sales since revenue is at risk and schedule the full feature immediately.,Ask Developers to switch the Sprint scope to the white-label feature regardless of the Sprint Goal.,Let Developers choose between the onboarding work and the white-label work to avoid conflict.,,,,,,,
multiplechoice,PSPO II,Stakeholder Negotiation,Yes,"Facilitating a transparent, outcome-focused negotiation and then adjusting ordering respects the Sprint Goal, keeps empiricism, and makes risks and trade-offs explicit.
Taxonomy: Stakeholder Negotiation
Structure: Stakeholder negotiation under competing demands
Scrum Guide: Sprint Goal, Product Backlog ordering, empiricism, transparency","Cancelling the Sprint without the Sprint Goal being at risk, overloading the current Sprint, or deferring the decision to the Scrum Master all sidestep Product Owner accountability and weaken focus.
Taxonomy: Stakeholder Negotiation
Structure: Stakeholder negotiation under competing demands
Scrum Guide: Sprint Goal, accountabilities, focus",1,"Legal demands an urgent encryption change, while the CTO wants a marketing integration prioritized next. Neither need threatens the current Sprint Goal. What should the Product Owner do next?",A,"Invite both parties to a short trade-off discussion anchored in the Product Goal and risk, then adapt Product Backlog ordering for upcoming Sprints.",Cancel the Sprint so that the team can immediately work on the encryption change.,Ask Developers to add both requests to the current Sprint to keep everyone satisfied.,Let the Scrum Master decide which request to honor first.,,,,,,,
multiplechoice,PSPO II,Organizational Economics,Yes,"Ordering by cost of delay while considering option value and time criticality aligns investment with economic impact and learning potential, not just scope or utilization.
Taxonomy: Organizational Economics
Structure: Organizational economics tradeoff
Scrum Guide: Product Backlog ordering, value maximization, empiricism","Utilization focus, deferring the niche solely due to size, or defaulting to breadth without economic analysis can destroy value by ignoring time sensitivity and return profiles.
Taxonomy: Organizational Economics
Structure: Organizational economics tradeoff
Scrum Guide: value focus, transparency in ordering",1,"You must choose between a small, time-critical niche feature with very high margin and a broad, lower-margin capability. What lens best informs your Product Backlog ordering?",C,Maximize team utilization to keep everyone busy across both efforts.,Defer the niche feature because its audience is small.,"Prioritize based on cost of delay and option value, including time criticality and information gained.",Choose the broad capability because it may generate more feedback.,,,,,,,
multiplechoice,PSPO II,Strategy vs Tactics,Yes,"Expressing intent as outcomes and hypotheses enables empiricism, options, and better investment decisions than feature guarantees.
Taxonomy: Strategy vs Tactics
Structure: Strategy versus tactics distinction
Scrum Guide: Product Goal, empiricism, transparency","Fixed feature commitments, precision estimates for certainty, or deferring discovery are tactics that reduce adaptability and obscure outcomes.
Taxonomy: Strategy vs Tactics
Structure: Strategy versus tactics distinction
Scrum Guide: inspection and adaptation, outcome focus",1,Your executives want a fixed list of features for the next quarter. What is the most strategic Product Owner response?,B,"Commit to the list to secure funding, then replan quietly later.","Frame the quarter as outcomes with hypotheses and options, not fixed outputs, and define evidence checkpoints.",Ask Developers to estimate all features precisely to create certainty.,Defer all discovery in favor of hitting the list on time.,,,,,,,
multiplechoice,PSPO II,Value Measures,Yes,"Staged funding with evidence gates respects uncertainty while providing governance through outcomes rather than illusory certainty.
Taxonomy: Certainty Trap
Structure: Evidence versus certainty trap
Scrum Guide: empiricism, Product Goal, transparency","Buffers, blanket refusals, and quiet changes undermine trust, hide risk, or promote fake certainty rather than evidence-based control.
Taxonomy: Certainty Trap
Structure: Evidence versus certainty trap
Scrum Guide: transparency, inspection and adaptation",1,An executive demands 95% confidence forecasts before releasing funding. What is the most effective Product Owner approach?,B,Provide the forecast with large buffers to secure funding.,Explain uncertainty and propose staged investment with explicit evidence gates tied to Product Goals.,Decline to forecast because Scrum does not support any projections.,Commit to a full roadmap and adjust quietly if reality differs.,,,,,,,
multiplechoice,PSPO II,Democracy Trap,Yes,"The Product Owner seeks input but decides based on evidence and Product Goal alignment, avoiding popularity contests that can misallocate value.
Taxonomy: Democracy Trap
Structure: Democracy trap in product decision-making
Scrum Guide: Product Owner accountability, Product Goal, empiricism","Voting or deferring to roles outside the PO abdicates accountability and may prioritize preferences over outcomes.
Taxonomy: Democracy Trap
Structure: Democracy trap in product decision-making
Scrum Guide: accountabilities, value maximization",1,Developers suggest running a team vote to choose the next big feature. What should the Product Owner do?,B,Encourage the vote; democracy creates buy-in even if it lowers value.,"Use evidence and the Product Goal to decide, seeking input but not delegating the decision to a vote.",Let the Scrum Master choose to avoid conflict.,Ask the most senior developer to decide based on expertise.,,,,,,,
